a|b|paa|pbb|pab|acore|bcore|sbm_pmat|na|N|taa|tbb
46|92|0.9017301973506353|0.0852933225195999|0.012976480129764802|(0.10446371036835085, 0.05527638190954774)|(1.10439155427305, 0.4623115577889447)|(0.0034854692870122774, 0.00012112265561422434, 0.00771299352157438)|0.8086482805583929|2330|0.9928560797737759|0.9293078055964654
46|93|0.9982043992219063|0.0017956007780936705|0.0|(0.0025393629729877783, 0.0)|(1.222547851355655, 0.49748743718592964)|(0.003643879718649443, 0.0, 0.15384615384615385)|0.987936772046589|1940|1.0|1.0
46|94|0.9404963338973491|0.05823463056965595|0.0012690355329949238|(0.07132334336187161, 0.03015075376884422)|(1.1518686808104581, 0.4723618090452261)|(0.0036243677054166095, 1.5898110774502963e-05, 0.009523809523809525)|0.8392226148409894|2248|0.9993257921941718|0.9892215568862275
46|95|0.15202957081251284|0.8467154950144888|0.00125493417299838|(1.037016497238436, 0.4221105527638191)|(0.18621667823269625, 0.07537688442211056)|(0.0035171510601336234, 4.551818815762402e-06, 0.001927328262036453)|0.25919458692567937|7753|0.9958896943427248|0.9992594886432485
46|96|0.5911548347070814|0.40476823539838697|0.004076929894531596|(0.4957381949431165, 0.20603015075376885)|(0.7240185954282886, 0.30150753768844224)|(0.003568350496546404, 2.0486564821717897e-05, 0.0067822032136386585)|0.6357066381156317|3057|0.9965635738831615|0.9949891067538127
46|97|0.3243322142752883|0.6748893105629349|0.0007784751617768695|(0.8265700900121047, 0.33668341708542715)|(0.3972357509566859, 0.16080402010050251)|(0.0036146538261322228, 2.9577398135440823e-06, 0.0034996669626998224)|0.439083009798484|4596|0.9988013185495954|0.9994235895957922
46|98|0.056347802537259115|0.9431697966299647|0.0004824008327761745|(1.1551424463609121, 0.4723618090452261)|(0.06904403701797523, 0.03015075376884422)|(0.0035362789931855723, 2.606862496921501e-06, 0.0017565594359036437)|0.16932839013261086|12208|0.9957376804008076|0.9997443315615959
47|51|0.9438877030498173|0.025270431605224124|0.030841865344958575|(0.031048517172615742, 0.04522613065326633)|(1.1560216880228789, 0.5025125628140703)|(0.0006734417296606143, 9.946172249152723e-05, 0.0014745993143165967)|0.9221243808475509|11468|0.9839249516805733|0.6210268948655258
47|52|0.5287909721587388|0.43579039319052115|0.03541863465073996|(0.5337399809068112, 0.25125628140703515)|(0.6476384590779533, 0.30150753768844224)|(0.0006024400953114387, 2.5322857721457833e-05, 0.0007822473607128296)|0.5605319282398695|18727|0.9675950449320212|0.9609496612352316
47|61|0.2439282340056499|0.7166070496881272|0.039464716306222884|(0.8776615080221112, 0.3969849246231156)|(0.298751160333753, 0.16080402010050251)|(0.0005259657093263049, 1.6154858581029875e-05, 0.00022278026396807603)|0.2635573557749027|42037|0.9251600021393045|0.9732020886795102
47|62|0.6676833175282569|0.30438014198938923|0.027936540482353847|(0.3727896411485869, 0.18090452261306533)|(0.8177417200199937, 0.36180904522613067)|(0.0006389525210890693, 2.282685751092302e-05, 0.0008496055461586165)|0.6369208838203849|16921|0.9795081967213114|0.9561226954351502
47|63|0.5939175879854715|0.39738349254784977|0.008698919466678811|(0.4866971976766964, 0.20603015075376885)|(0.727398572346843, 0.3065326633165829)|(0.000677775196226652, 6.926675069944459e-06, 0.0008833101059802557)|0.5868394553653518|18674|0.9927299025578562|0.9891732562423831
47|64|0.3135223423618896|0.6234706300702757|0.06300702756783472|(0.7635984657197613, 0.3768844221105528)|(0.38398953844765843, 0.22110552763819097)|(0.0004896496872243667, 2.953695079891038e-05, 0.0003509619400444571)|0.36226047944650147|30806|0.9086923103797645|0.9519011336866903
47|65|0.9149921094160968|0.07948448185165702|0.005523408732246186|(0.09734822754597577, 0.04522613065326633)|(1.1206323405566163, 0.4623115577889447)|(0.0006962088597760748, 1.0777916480248629e-05, 0.001591815965987883)|0.8220791168353266|12988|0.9969908004470811|0.9664214902462424
47|66|0.8208974015958702|0.14606776940146995|0.033034829002659784|(0.17889738794152873, 0.10552763819095477)|(1.0053914930528836, 0.44221105527638194)|(0.0006545319931232666, 3.6766348019145125e-05, 0.0009079453385796746)|0.7528222409435552|14128|0.9802757078286364|0.898407627897972
